"m100" "m200" "m400" "m800" "m1000" "m3000"
"argentina" 11.61 22.94 54.5 129 290.8 587.4
"australia" 11.2 22.35 51.08 118.8 327.8 544.8
"austria" 11.43 23.09 50.62 119.4 279.1 560.4
"belgium" 11.41 23.04 52 120 322.6 532.8
"bermuda" 11.46 23.05 53.3 129.6 206.4 588.6
"brazil" 11.31 23.17 52.8 126 189.4 586.2
"burma" 12.14 24.47 55 130.8 404.8 570.6
"canada" 11 22.25 50.06 120 358.3 528.6
"chile" 12 24.52 54.9 123 275.9 562.2
"china" 11.95 24.41 54.97 124.8 308.2 558.6
"columbia" 11.6 24 53.26 126.6 162.6 567.6
"cookis" 12.9 27.1 60.4 138 154.9 666
"costa" 11.96 24.6 58.25 132.6 163.1 625.8
"czech" 11.09 21.97 47.99 113.4 215.6 535.2
"denmark" 11.42 23.52 53.6 121.8 473.3 522.6
"domrep" 11.79 24.05 56.05 134.4 165.9 593.4
"finland" 11.13 22.39 50.14 121.8 223.4 535.2
"france" 11.15 22.59 51.73 120 245.3 538.8
"gdr" 10.81 21.71 48.16 115.8 163.4 525
"frg" 11.01 22.39 49.75 117 495.1 515.4
"gbni" 11 22.13 50.46 118.8 209.7 517.2
"greece" 11.79 24.08 54.93 124.2 515.3 592.2
"guatemala" 11.84 24.54 56.09 136.8 290.8 632.4
"hungary" 11.45 23.06 51.5 120.6 185.9 538.8
"india" 11.95 24.28 53.6 126 353.9 598.8
"indonesia" 11.85 24.24 55.34 133.2 313 601.2
"ireland" 11.43 23.51 53.24 123 253.1 533.4
"israel" 11.45 23.57 54.9 126 238.9 562.2
"italy" 11.29 23 52.01 117.6 195.8 517.8
"japan" 11.73 24 53.73 125.4 205.2 552
"kenya" 11.73 23.88 52.7 120 329.3 552
"korea" 11.96 24.49 55.7 129 135 577.2
"dprkorea" 12.25 25.78 51.2 118.2 334.9 561
"luxembou" 12.03 24.96 56.1 124.2 248 578.4
"malaysia" 12.23 24.21 55.09 131.4 265.5 627.6
"mauritius" 11.76 25.08 58.1 136.2 314.5 654
"mexico" 11.89 23.62 53.76 122.4 262.9 575.4
"netherland" 11.25 22.81 52.38 119.4 321.4 540.6
"nz" 11.55 23.13 51.6 121.2 615.5 525.6
"norway" 11.58 23.31 53.12 121.8 174.3 511.8
"png" 12.25 25.07 56.96 134.4 297.4 641.4
"philippi" 11.76 23.54 54.6 131.4 258.9 609.6
"poland" 11.13 22.21 49.29 117 180.5 538.2
"portugal" 11.81 24.22 54.3 125.4 460.7 530.4
"rumania" 11.44 23.46 51.2 115.2 168.7 511.8
"singapor" 12.3 25 55.08 127.2 373.9 596.4
"spain" 11.8 23.98 53.59 123 194.9 541.2
"sweden" 11.16 22.82 51.79 121.2 283.7 530.4
"switzerland" 11.45 23.31 53.11 121.2 255.5 526.2
"taipei" 11.22 22.62 52.5 126 255.1 577.8
"thailand" 11.75 24.46 55.8 132 245.5 616.8
"turkey" 11.98 24.44 56.45 129 340.6 562.8
"usa" 10.79 21.83 50.62 117.6 359.1 510
"ussr" 11.06 22.19 49.19 113.4 274 507
"wsamoa" 12.74 25.85 58.73 139.8 173.3 782.4
