"forza" "braccio" "capelli" "tipo"
131.294703513327 49.82 32.14 "NM"
516.741232657751 48.9 41.71 "M"
435.012079325823 53.4 29.86 "M"
147.985917944328 41.53 29.85 "NM"
143.461313653214 48.73 34.11 "NM"
303.957640259194 46.58 22.51 "M"
398.521327260992 46.13 36.94 "M"
213.034863110039 51.88 19.51 "NM"
195.06531828911 67.17 40.3 "NM"
288.86267211398 43.75 17.14 "M"
81.3250977359399 48.79 36.91 "NM"
80.069385141773 51.02 34.24 "NM"
275.916596501628 32.66 17.38 "M"
187.397708675502 51.33 21.63 "NM"
175.787735379693 43.15 32.68 "NM"
339.81340309488 48.61 24.39 "M"
122.582736453473 43.36 35.77 "NM"
477.135338026072 52.8 35.19 "M"
209.786770052342 46.6 30.84 "NM"
325.942074436915 50.16 22.3 "M"
412.730863972662 67.49 33.53 "M"
282.133023971917 50.02 25.99 "M"
296.336775522692 60.94 19.72 "M"
106.628092998535 46.14 27.86 "NM"
141.681502787014 54.8 36.5 "NM"
225.057975035367 52.71 34.35 "NM"
443.662820331651 59.94 34.84 "M"
451.120069415802 61.4 35.46 "M"
365.039969316305 52.01 27.26 "M"
90.3891841273278 45.09 21.98 "NM"
512.479375016858 52.03 40.08 "M"
3.90189492605022 49.25 50.59 "NM"
408.683745635643 48.61 32.06 "M"
406.884880919978 58.8 32.22 "M"
497.609349810973 46.05 46.67 "M"
375.769858710672 54.26 38.03 "M"
225.312670001767 48.53 26.26 "NM"
240.552595789843 52.6 28.99 "NM"
326.073415935594 49.37 23.29 "M"
151.977926612408 52.99 31.13 "NM"
147.376605984167 53.9 15.88 "NM"
395.946046973194 56.88 20.44 "M"
263.144007466769 47.37 18.57 "NM"
496.005309213477 57.55 39.66 "M"
365.1811687043 43.67 33.62 "M"
232.213844237175 39.93 34.44 "NM"
94.8691734164622 58.27 32.29 "NM"
269.840898794029 46.74 19.8 "M"
231.03427743372 54.66 23.58 "NM"
365.617542845404 51.44 28.75 "M"
367.575155898164 49.82 23.51 "M"
135.638795350498 49.56 24.48 "NM"
104.890174480855 53.87 42.12 "NM"
87.8330295852875 42.05 47.47 "NM"
107.933002634456 48.85 39.57 "NM"
408.98728785092 42.26 31.05 "M"
85.6288945054179 57.29 48.76 "NM"
377.356065526826 42.46 25.65 "M"
499.241930083575 46.95 37.02 "M"
270.039453282952 42.19 31.02 "NM"
403.043699284013 57.06 36.95 "M"
107.324836307025 57.25 36.72 "NM"
163.014395757973 46.34 26.57 "NM"
425.714815944924 39.71 28.2 "M"
364.783232154117 26.23 25.19 "M"
165.7778431361 51.97 25.49 "NM"
240.625606817064 46.55 29.01 "NM"
149.003164095989 47.31 38.38 "NM"
268.870815790441 41.28 25.37 "NM"
417.693190955124 58.62 36.3 "M"
389.660502347141 43.25 24.03 "M"
107.744018310313 58.6 40.88 "NM"
167.77537817689 55.21 33.71 "NM"
170.476241213136 63.8 21.9 "NM"
165.87444762456 49.61 29.15 "NM"
210.094001999712 43.89 10.83 "NM"
415.993891049491 54.93 19.66 "M"
353.650412390125 55.2 34.11 "M"
444.716412935843 46.67 35.6 "M"
470.37193192417 40.6 29.48 "M"
219.060223988047 46.17 32.89 "NM"
46.014630187385 49.33 34.46 "NM"
141.626955816194 54.83 21.38 "NM"
368.239831586909 56.44 22.82 "M"
319.225027413238 39.37 26.48 "M"
65.9497085567438 50.6 26.41 "NM"
158.147817535265 48.71 30.98 "NM"
108.91289566134 46.95 28.87 "NM"
182.746471362073 60.62 30.9 "NM"
169.337708030467 54.75 39.02 "NM"
197.171161017102 45.54 11.32 "M"
450.032951339635 55.07 34.61 "M"
394.655523405099 54.63 36.04 "M"
264.272535927512 39.67 29.96 "NM"
107.923946437994 58.65 32.37 "NM"
403.97009345893 55.73 34.62 "M"
363.718605450103 51.39 26.17 "M"
295.929148666772 45.19 19.27 "M"
473.34700572733 44.71 40.96 "M"
237.140010232427 54.62 28.63 "NM"
