"v1" "v2" "v3" "v4" "v5" "v6" "v7" "v8"
"90" 11.3979368759294 11.4269066922469 5.30039798677899 1 13.01845182858 20.6819046319545 4.06087856716476 0
"151" 16.7420023380031 13.2797831070485 9.21691090776585 1 14.3031370856815 20.4122538648701 4.57148893130943 0
"25" 9.60240139921004 8.65034070875441 5.22586160502397 1 13.6436042359289 13.4195117468742 7.7911973441951 1
"50" 12.4842241863859 9.11203995211257 7.63893431494944 1 17.2133129809258 13.8595580407815 9.82217419985682 1
"62" 7.41028525879528 16.7354674680949 4.09537216671742 1 10.2527162992242 20.2190791716219 6.1008723161649 1
"63" 14.0646497647683 10.3975460409799 8.42875597462989 1 9.7664318649408 12.8363911433778 5.37124412460253 1
"117" 16.1643427571913 17.1708169386361 10.3331264322624 1 13.0551087901454 23.947260791462 4.01801058952697 0
"28" 12.8845084142039 15.0747533698341 7.56617656443268 1 15.4725374928189 10.9028980634238 8.8614030960016 1
"23" 16.740287940228 13.0628311328817 9.99061360908672 1 15.5600986572636 11.8721856439349 10.5717609450221 1
"77" 15.2354843386752 10.1876382729832 8.42907862574793 1 11.0944225066449 11.1336835977529 4.74416661448777 1
"161" 11.0917594744432 10.7147002900081 4.90318498690613 1 18.3252760726822 25.2180322379678 8.9698935484048 0
"185" 12.9681302654836 12.1549448244811 6.55837926547974 1 15.481754393509 32.0283616989485 6.24409496318549 0
"24" 16.3241656698412 8.58511980873885 10.9982049760874 1 13.8143976593279 14.2576724983464 8.13366092089564 1
"87" 10.4818700438707 12.4333042636051 5.73429784877226 1 14.7291455675785 21.3064137131781 5.49358440982178 0
"133" 12.8635632581854 9.75016490187734 7.91803965787403 1 17.1502080771013 26.1882302189989 8.93836542894132 0
"155" 9.5303888948329 13.2369809030384 5.49485687119886 1 13.9026284887127 22.2278425646949 5.64749279222451 0
"112" 14.5723514918462 12.5310913777571 7.61734017729759 1 12.6626388597934 30.0618289565057 4.60900176223367 0
"9" 17.5054391237504 15.8633149437339 9.53846622817218 1 16.740287940228 13.0628311328817 9.99061360908672 1
