employed ArmedForce pop15 unemployed GDP deflatore anno
1 21374 556 48208.0 2868 880012.0 64.14 1988
2 21391 558 48090.0 2867 905146.0 68.29 1989
3 21764 549 47387.0 2751 922344.5 73.96 1990
4 21946 536 47642.0 2653 932505.0 79.79 1991
5 21813 543 47915.0 2535 941492.3 83.25 1992
6 21381 399 47528.8 2298 936272.8 86.23 1993
7 20372 400 47371.0 2507 958278.6 89.11 1994
8 20233 381 48083.3 2637 983386.9 93.86 1995
9 20319 368 48278.6 2653 994721.4 98.77 1996
10 20413 385 48482.3 2668 1013645.4 101.25 1997
11 20618 375 48653.1 2744 1031661.5 104.01 1998
12 20863 371 48758.8 2669 1045985.2 105.93 1999
13 21225 351 48917.0 2495 1082137.5 107.80 2000
14 21634 334 49084.0 2267 1103885.5 110.39 2001
15 21922 309 49203.0 2163 1110510.2 113.52 2002
16 22134 312 49208.0 2096 1114221.5 116.76 2003
