"","data","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","nuovi_positivi","dimessi_guariti","deceduti","deceduti_daily","dimessi_guariti_dayly","casi_testati_daily","nuovi_positivi_norm","perc_vax","colore"
"1",2020-10-01,421,38,5937,390,6273,463,0,107,7475,0.0521739130434783,0,"pre_decreto"
"2",2020-10-02,439,39,6267,392,6315,464,1,42,6152,0.0637191157347204,0,"pre_decreto"
"3",2020-10-03,434,40,6568,401,6418,465,1,103,5641,0.0710866867576671,0,"pre_decreto"
"4",2020-10-04,450,41,6909,412,6472,465,0,54,5764,0.0714781401804303,0,"pre_decreto"
"5",2020-10-05,463,43,7203,431,6593,466,1,121,3461,0.124530482519503,0,"pre_decreto"
"6",2020-10-06,488,47,7442,395,6718,468,2,125,3682,0.107278652906029,0,"pre_decreto"
"7",2020-10-07,520,52,7771,544,6895,469,1,177,6141,0.0885849210226348,0,"pre_decreto"
"8",2020-10-08,548,55,8347,757,7044,470,1,149,7891,0.0959320745152706,0,"pre_decreto"
"9",2020-10-09,576,63,8958,769,7161,475,5,117,7865,0.0977749523204069,0,"pre_decreto"
"10",2020-10-10,635,63,9493,664,7229,477,2,68,8245,0.0805336567616737,0,"pre_decreto"
"11",2020-10-11,664,61,9969,633,7357,479,2,128,8463,0.0747961715703651,0,"pre_decreto"
"12",2020-10-12,685,64,10477,662,7487,479,0,130,6134,0.107923051842191,0,"pre_decreto"
"13",2020-10-13,694,62,11022,635,7564,485,6,77,7151,0.0887987694028807,0,"pre_decreto"
"14",2020-10-14,735,61,11647,818,7715,487,2,151,8087,0.101149993817238,0,"pre_decreto"
"15",2020-10-15,762,66,12416,1127,8032,496,9,317,11096,0.101568132660418,0,"pre_decreto"
"16",2020-10-16,786,67,13501,1261,8180,499,3,148,11345,0.11115028646981,0,"pre_decreto"
"17",2020-10-17,817,75,14798,1410,8254,499,0,74,11426,0.123402765622265,0,"pre_decreto"
"18",2020-10-18,849,78,15938,1376,8453,501,2,199,9865,0.139483020780537,0,"pre_decreto"
"19",2020-10-19,884,85,17345,1593,8576,522,21,123,9865,0.161479979726305,0,"pre_decreto"
"20",2020-10-20,946,91,18421,1312,8732,534,12,156,8649,0.151693837437854,0,"pre_decreto"
"21",2020-10-21,996,85,20020,1760,8838,545,11,106,9786,0.179848763539751,0,"pre_decreto"
"22",2020-10-22,1037,94,21430,1541,8913,551,6,75,10423,0.147846109565384,0,"pre_decreto"
"23",2020-10-23,1090,98,23447,2280,9107,563,12,194,12641,0.180365477414761,0,"pre_decreto"
"24",2020-10-24,1118,108,25077,1718,9149,571,8,42,8421,0.204013775086094,0,"pre_decreto"
"25",2020-10-25,1151,113,27456,2590,9322,571,0,173,7435,0.348352387357095,0,"pre_decreto"
"26",2020-10-26,1191,123,29361,1981,9332,587,16,10,7436,0.266406670252824,0,"pre_decreto"
"27",2020-10-27,1210,140,31491,2761,9907,607,20,575,8541,0.323264254771104,0,"pre_decreto"
"28",2020-10-28,1235,160,33491,2427,10272,624,17,365,8965,0.270719464584495,0,"pre_decreto"
"29",2020-10-29,1297,164,36243,3103,10537,644,20,265,10463,0.296568861703144,0,"pre_decreto"
"30",2020-10-30,1385,161,38804,3186,11062,659,15,525,12453,0.255841965791376,0,"pre_decreto"
